"site","site_name","latitude","longitude","elevation","country","country_iso_code","site_type","site_area","date_start","date_end","network","eu_code","eoi_code","observation_count","data_source"
"se0004a","Göteborg Femman",57.7090199995155,11.970241,31.3,"sweden","SE","background","urban",1990-01-01 00:00:00,2022-06-14 01:00:00,"NET-SE0005C","STA-SE0004A","SE0004A",2150353,"airbase; aqer:e1a; aqer:e2a"
"se0005r","Bredkälen",63.8454969995757,15.31973,380,"sweden","SE","background","rural",1993-01-01 00:00:00,2022-06-14 01:00:00,"NET-SE0005C","STA-SE0005R","SE0005R",342601,"airbase; aqer:e1a; aqer:e2a"
"se0008r","Hoburgen",56.9223999995094,18.1507,39,"sweden","SE","background","rural",1993-01-01 00:00:00,2019-12-01 08:00:00,"NET-SE0005C","STA-SE0008R","SE0008R",14112,"airbase; aqer:e1a"
"se0009a","Linköping",58.410835,15.62167,51,"sweden","SE","background","urban",1997-01-08 00:00:00,2011-04-03 00:00:00,NA,NA,NA,5779,"airbase"
"se0010a","Jönköping",57.7825,14.170281,90,"sweden","SE","background","urban",1997-01-01 00:00:00,2010-04-30 00:00:00,NA,NA,NA,4128,"airbase"
"se0011a","Karlstad",59.3805499995298,13.50168,44,"sweden","SE","background","urban",1997-01-01 00:00:00,2012-12-10 07:00:00,"NET-SE002A","STA-SE0011A","SE0011A",3906,"airbase"
"se0011r","Vavihill",56.0280569995028,13.150005,163,"sweden","SE","background","rural_regional",1985-01-01 00:00:00,2017-12-31 22:00:00,"NET-SE0005C","STA-SE0011R","SE0011R",619403,"airbase; aqer:e1a"
"se0012a","Timrå",62.4867779995606,17.324437,30,"sweden","SE","background","urban",1997-01-01 00:00:00,2017-04-30 23:00:00,"NET-SE0012C","STA-SE0012A","SE0012A",8806,"airbase; aqer:e1a"
"se0012r","Aspvreten",58.8061069995247,17.38805,20,"sweden","SE","background","rural_regional",1990-01-01 00:00:00,2017-12-31 22:00:00,"NET-SE0005C","STA-SE0012R","SE0012R",643017,"airbase; aqer:e1a"
"se0013a","Kiruna",67.854996,20.230848,535,"sweden","SE","background","urban",1997-01-01 00:00:00,1999-03-31 00:00:00,NA,NA,NA,1083,"airbase"
"se0013r","Esrange",67.8785879996258,21.062962,524,"sweden","SE","background","rural",1990-09-12 00:00:00,2022-03-08 11:00:00,"NET-SE0005C","STA-SE0013R","SE0013R",485217,"airbase; aqer:e1a; aqer:e2a"
"se0014a","Västervik",57.7587459995159,16.638933,11,"sweden","SE","background","urban",1997-01-01 00:00:00,2017-12-30 23:00:00,"NET-SE0017C","STA-SE0014A","SE0014A",5070,"airbase; aqer:e1a"
"se0014r","Råö",57.393699999513,11.9142,2,"sweden","SE","background","rural",2002-01-01 00:00:00,2022-06-14 01:00:00,"NET-SE0005C","STA-SE0014R","SE0014R",376904,"airbase; aqer:e1a; aqer:e2a"
"se0015a","Landskrona Polishuset",55.8696589995017,12.829702,20,"sweden","SE","background","urban",1997-01-07 00:00:00,2015-12-28 23:00:00,"NET-SE0001C","STA-SE0015A","SE0015A",6244,"airbase; aqer:e1a"
"se0016a","Kristianstad",56.030834,14.152781,2,"sweden","SE","traffic","urban",1997-01-01 00:00:00,2011-04-30 00:00:00,NA,NA,NA,5004,"airbase"
"se00174","Sännen",56.3082999995048,15.354,90,"sweden","SE","background","rural",2016-01-01 23:00:00,2019-12-02 09:00:00,"NET-SE0005C","STA-SE00174","SE00174",657,"aqer:e1a"
"se0017a","Östersund",63.1777989995681,14.635947,312,"sweden","SE","background","urban",1997-01-01 00:00:00,2018-12-10 07:55:00,"NET-SE2380A","STA-SE0017A","SE0017A",4610,"airbase; aqer:e1a"
"se00184","Tandövala",60.8229999995434,13.178,439,"sweden","SE","background","rural",2016-01-11 23:00:00,2016-08-09 23:00:00,"NET-SE0005C","STA-SE00184","SE00184",84,"aqer:e1a"
"se00186","Docksta",63.0529999995668,18.299,215,"sweden","SE","background","rural",2016-01-02 12:00:00,2019-11-29 09:00:00,"NET-SE0005C","STA-SE00186","SE00186",650,"aqer:e1a"
"se0018a","Vännäs",63.908337,19.752781,85,"sweden","SE","background","urban",1997-01-01 00:00:00,1997-12-31 00:00:00,NA,NA,NA,362,"airbase"
"se00193","Sandnäset",63.7709999995748,12.441,470,"sweden","SE","background","rural",2016-01-01 23:00:00,2019-11-30 23:00:00,"NET-SE0005C","STA-SE00193","SE00193",574,"aqer:e1a"
"se00205","Djursvallen Nedre",62.0139999995556,13.516,649,"sweden","SE","background","rural",2016-01-01 23:00:00,2019-12-31 13:18:00,"NET-SE0005C","STA-SE00205","SE00205",718,"aqer:e1a"
"se0021a","Göteborg Gårda",57.7009369995155,11.994604,4.8,"sweden","SE","traffic","urban",1998-01-01 00:00:00,2022-06-14 01:00:00,"NET-SE0007C","STA-SE0021A","SE0021A",642891,"airbase; aqer:e1a; aqer:e2a"
"se0022a","Stockholm Torkel Knutssongatan",59.3160069995292,18.057807,58,"sweden","SE","background","urban",1999-01-01 00:00:00,2022-06-14 01:00:00,"NET-SE0004C","STA-SE0022A","SE0022A",1038604,"airbase; aqer:e1a; aqer:e2a"
"se0024a","Uppsala",59.858608,17.644175,20,"sweden","SE","traffic","urban",1999-01-01 00:00:00,2006-11-21 12:00:00,NA,NA,NA,69994,"airbase"
"se0025a","Lycksele",64.595001,18.676674,100,"sweden","SE","background","urban",1999-01-01 00:00:00,2004-05-01 00:00:00,NA,NA,NA,1229,"airbase"
"se00265","Tyresta",59.173999999528,18.239,50,"sweden","SE","background","rural",2016-01-30 23:00:00,2019-12-01 23:00:00,"NET-SE0005C","STA-SE00265","SE00265",563,"aqer:e1a"
"se0026a","Borås",57.7202799995156,12.94168,162,"sweden","SE","background","urban",2000-01-01 00:00:00,2014-12-31 23:00:00,"NET-SE0008C","STA-SE0026A","SE0026A",451542,"airbase; aqer:e1a"
"se0027a","Stockholm Sveavägen 59 Gata",59.3408269995295,18.058254,8,"sweden","SE","traffic","urban",2000-01-01 00:00:00,2022-06-14 01:00:00,"NET-SE0004C","STA-SE0027A","SE0027A",908861,"airbase; aqer:e1a; aqer:e2a"
"se00289","Ryda Kungsgård",59.7559999995333,17.124,45,"sweden","SE","background","rural",2015-12-31 23:00:00,2019-11-30 23:00:00,"NET-SE0005C","STA-SE00289","SE00289",588,"aqer:e1a"
"se0028a","Sundsvall",62.390278,17.306672,10,"sweden","SE","background","urban",2000-01-01 00:00:00,2008-12-31 23:00:00,NA,NA,NA,143959,"airbase"
"se00291","Granan",58.601899999523,12.1894,175,"sweden","SE","background","rural",2016-01-03 23:00:00,2019-12-02 08:00:00,"NET-SE0005C","STA-SE00291","SE00291",722,"aqer:e1a"
"se0029a","Umeå Storgatan",63.821945,20.255281,10,"sweden","SE","traffic","urban",2000-01-01 00:00:00,2000-11-15 15:00:00,NA,NA,NA,5432,"airbase"
"se0030a","Umeå Stadsbiblioteket",63.8270889995755,20.265697,18,"sweden","SE","background","urban",2000-01-01 00:00:00,2022-06-14 00:00:00,"NET-SE2480A","STA-SE0030A","SE0030A",99661,"airbase; aqer:e1a; aqer:e2a"
"se0031a","Uppsala",59.8586099995342,17.63861,10,"sweden","SE","background","urban",2000-01-01 00:00:00,2012-12-30 00:00:00,"NET-SE002A","STA-SE0031A","SE0031A",2309,"airbase"
"se0032r","Norra Kvill",57.8108329995164,15.564736,263,"sweden","SE","background","rural_regional",2007-01-01 00:00:00,2022-06-14 01:00:00,"NET-SE0005C","STA-SE0032R","SE0032R",189687,"airbase; aqer:e1a; aqer:e2a"
"se0035r","Vindeln",64.2442259995803,19.767238,271,"sweden","SE","background","rural_remote",2002-01-09 00:00:00,2022-06-14 01:00:00,"NET-SE0005C","STA-SE0035R","SE0035R",310160,"airbase; aqer:e1a; aqer:e2a"
"se0039r","Grimsö",59.728150999533,15.471994,132,"sweden","SE","background","rural_remote",2004-01-01 00:00:00,2022-05-03 17:00:00,"NET-SE0005C","STA-SE0039R","SE0039R",243795,"airbase; aqer:e1a; aqer:e2a"
"se0040a","Arvika",59.654724,12.591394,65,"sweden","SE","background","urban",2003-01-01 00:00:00,2005-03-28 00:00:00,NA,NA,NA,309,"airbase"
"se0041a","Kalmar",56.6652799995074,16.36029,4,"sweden","SE","background","urban",2003-01-01 00:00:00,2012-12-31 00:00:00,"NET-SE002A","STA-SE0041A","SE0041A",1995,"airbase"
